,feat_log_ret_1d,feat_ret_5d,feat_ret_10d,feat_ret_20d,feat_ret_60d,feat_ret_120d,feat_intraday_range,feat_open_close_spread,feat_gap_return,feat_close_to_high_dist,feat_52w_high_dist,feat_52w_low_dist
feat_log_ret_1d,1.0,0.39742249269390106,0.28059524889726484,0.19698990503966646,0.10853086101042987,0.06426446477663215,-0.05097110976981381,0.8612412313662434,0.3550732420410428,-0.650981521442651,-0.1303166881011983,0.08755999029050948
feat_ret_5d,0.39742249269390106,1.0,0.6601471361302818,0.4483300585373356,0.23995903675364078,0.14799198137100597,-0.07095516017298958,0.3488359226887246,0.15321514417935855,-0.2850676325005466,-0.2610832650043864,0.19792475183833427
feat_ret_10d,0.28059524889726484,0.6601471361302818,1.0,0.6651781234587059,0.3526701901789299,0.22398225313404188,-0.06954852742179193,0.23531145031637474,0.12607936773062808,-0.19992508975859768,-0.34971486238479105,0.2792726831068134
feat_ret_20d,0.19698990503966646,0.4483300585373356,0.6651781234587059,1.0,0.5122127341553947,0.34123428313821996,-0.05461854519148667,0.1735672523981099,0.07635073438119587,-0.13906642127532937,-0.4656053067563648,0.4009666219175359
feat_ret_60d,0.10853086101042987,0.23995903675364078,0.3526701901789299,0.5122127341553947,1.0,0.600426070483433,-0.05754896997138273,0.08851312681499417,0.05758325872189108,-0.07465438053025185,-0.6417011013778339,0.5896714989170516
feat_ret_120d,0.06426446477663215,0.14799198137100597,0.22398225313404188,0.34123428313821996,0.600426070483433,1.0,-0.06507911836940061,0.04770078541588219,0.033501592094719465,-0.05804313389712008,-0.7161800428213808,0.6763056748185159
feat_intraday_range,-0.05097110976981381,-0.07095516017298958,-0.06954852742179193,-0.05461854519148667,-0.05754896997138273,-0.06507911836940061,1.0,-0.03800112394001961,-0.005977776256847489,0.49451436676855387,0.2006682714549785,0.03451290194070583
feat_open_close_spread,0.8612412313662434,0.3488359226887246,0.23531145031637474,0.1735672523981099,0.08851312681499417,0.04770078541588219,-0.03800112394001961,1.0,-0.07682010581092802,-0.7172972359199083,-0.1099212884599257,0.04854874315070988
feat_gap_return,0.3550732420410428,0.15321514417935855,0.12607936773062808,0.07635073438119587,0.05758325872189108,0.033501592094719465,-0.005977776256847489,-0.07682010581092802,1.0,0.021693868188539946,-0.0434745359628956,0.08891778260986988
feat_close_to_high_dist,-0.650981521442651,-0.2850676325005466,-0.19992508975859768,-0.13906642127532937,-0.07465438053025185,-0.05804313389712008,0.49451436676855387,-0.7172972359199083,0.021693868188539946,1.0,0.1732849513881681,-0.001974442289245763
feat_52w_high_dist,-0.1303166881011983,-0.2610832650043864,-0.34971486238479105,-0.4656053067563648,-0.6417011013778339,-0.7161800428213808,0.2006682714549785,-0.1099212884599257,-0.0434745359628956,0.1732849513881681,1.0,-0.5681588867988833
feat_52w_low_dist,0.08755999029050948,0.19792475183833427,0.2792726831068134,0.4009666219175359,0.5896714989170516,0.6763056748185159,0.03451290194070583,0.04854874315070988,0.08891778260986988,-0.001974442289245763,-0.5681588867988833,1.0
