      Date  Universe_Size  Daily_Rank_IC  Long_Short_Spread  Top_Quantile_Return  Bottom_Quantile_Return  Cross_Hit_Rate  Cumulative_Rank_IC  Cumulative_LS_Spread
2024-01-02             49      -0.029490           0.002273            -0.000116               -0.002388       51.020408           -0.029490              1.002273
2024-01-03             49      -0.202449          -0.015157            -0.012152                0.003005       38.775510           -0.231939              0.987081
2024-01-04             49       0.004592          -0.000807             0.015561                0.016367       51.020408           -0.227347              0.986285
2024-01-05             49       0.112755           0.004968             0.003132               -0.001836       55.102041           -0.114592              0.991185
2024-01-08             49      -0.075306          -0.000254            -0.007004               -0.006750       42.857143           -0.189898              0.990933
2024-01-09             49      -0.105204          -0.004215             0.005627                0.009842       42.857143           -0.295102              0.986756
2024-01-10             49       0.077857           0.002007             0.003411                0.001404       46.938776           -0.217245              0.988736
2024-01-11             49      -0.084543          -0.002628             0.003550                0.006178       42.857143           -0.301788              0.986138
2024-01-12             49      -0.123878          -0.009014             0.002536                0.011549       51.020408           -0.425665              0.977249
2024-01-15             49      -0.169082          -0.009736            -0.000793                0.008943       42.857143           -0.594747              0.967734
2024-01-16             49       0.367449           0.009698             0.001986               -0.007711       67.346939           -0.227298              0.977119
2024-01-17             49      -0.097857          -0.000052            -0.012251               -0.012199       34.693878           -0.325155              0.977068
2024-01-18             49       0.008469           0.006362            -0.000909               -0.007271       46.938776           -0.316686              0.983284
2024-01-19             49      -0.092959          -0.005637             0.012099                0.017736       51.020408           -0.409645              0.977741
2024-01-20             49      -0.116429           0.003363            -0.000543               -0.003905       38.775510           -0.526074              0.981029
2024-01-23             49      -0.119796          -0.007984            -0.014114               -0.006130       42.857143           -0.645870              0.973197
2024-01-24             49      -0.077449          -0.000643             0.010568                0.011212       51.020408           -0.723318              0.972570
2024-01-25             49       0.044490           0.001214            -0.004053               -0.005267       46.938776           -0.678829              0.973751
2024-01-29             49      -0.196229          -0.015901             0.012019                0.027919       46.938776           -0.875058              0.958268
2024-01-30             49       0.164796           0.004044            -0.004914               -0.008958       51.020408           -0.710262              0.962143
2024-01-31             49      -0.082347           0.001923             0.007489                0.005566       38.775510           -0.792609              0.963993
2024-02-01             49       0.149545           0.004779             0.006096                0.001317       55.102041           -0.643065              0.968600
