    Ticker     RMSE      MAE  Directional_Hit_Rate_%
ADANIPORTS  83.1376  47.0607                   47.88
APOLLOHOSP 188.9359 128.8010                   52.45
ASIANPAINT  70.1631  49.9709                   49.24
  AXISBANK  27.8019  20.6374                   52.12
BAJAJ-AUTO 434.1396 268.3930                   51.10
BAJAJFINSV  40.4115  30.1550                   49.92
BAJFINANCE  25.5936  18.0858                   53.47
       BEL  19.4483  11.5148                   49.07
BHARTIARTL  53.7008  41.2665                   49.24
     CIPLA  41.4169  29.4895                   48.03
 COALINDIA  20.5039  12.1248                   52.12
   DRREDDY  27.6272  20.9219                   50.93
 EICHERMOT 171.1456 128.1184                   52.28
   ETERNAL  12.7508   9.0692                   49.41
    GRASIM  69.7450  52.4998                   51.27
   HCLTECH  55.8963  40.0096                   48.73
  HDFCBANK  17.3370  12.8747                   50.59
  HDFCLIFE  16.1324  12.4509                   48.22
  HINDALCO  31.5521  22.4328                   47.04
HINDUNILVR  48.6658  37.2262                   49.75
 ICICIBANK  25.0409  19.6249                   52.62
    INDIGO 205.1960 144.1590                   45.69
      INFY  50.3045  34.9119                   49.24
       ITC  10.8313   7.4216                   50.93
    JIOFIN  24.1803  12.2842                   56.03
  JSWSTEEL  24.4920  18.7372                   50.59
 KOTAKBANK   8.2861   5.8021                   54.65
        LT 102.5533  74.3252                   49.92
    MARUTI 448.0469 304.2581                   45.85
 MAXHEALTH  47.8701  34.4930                   50.25
        MM 175.8789  99.6595                   45.35
 NESTLEIND  25.9937  19.1195                   50.42
      NTPC  14.1532   8.7753                   49.24
      ONGC  11.2754   7.7316                   51.32
 POWERGRID  11.7556   7.9256                   50.42
  RELIANCE  38.1486  24.8445                   49.75
   SBILIFE  42.9251  30.5734                   51.95
      SBIN  34.9752  23.7573                   48.90
SHRIRAMFIN  40.9859  27.1561                   49.24
 SUNPHARMA  51.0038  34.4593                   47.21
TATACONSUM  51.4035  29.1160                   52.25
 TATASTEEL   5.7599   4.2983                   50.17
       TCS 100.8228  76.5423                   46.53
     TECHM  53.0332  35.8535                   52.45
     TITAN  86.2308  65.6307                   48.39
      TMPV  29.4961  16.9105                   50.42
     TRENT 241.0441 153.2016                   48.73
ULTRACEMCO 290.6961 219.1472                   50.59
     WIPRO   9.5666   6.6993                   48.22
