feature,RankIC,ICIR,abs_ICIR,valid_daily_IC_count,verdict
keltner_channel_position,-0.04053392176076409,-0.20453959704009556,0.20453959704009556,474,DECENT KEEP
bollinger_band_percent_b,-0.038368775110848616,-0.20149929663860455,0.20149929663860455,474,DECENT KEEP
donchian_channel_position,-0.035100994992374825,-0.1838439511974065,0.1838439511974065,474,WEAK KEEP IF NEEDED
consecutive_down_days,0.03197017731134889,0.18329639529449526,0.18329639529449526,491,WEAK KEEP IF NEEDED
consecutive_up_days,-0.030424559541761338,-0.17726619389917794,0.17726619389917794,491,WEAK KEEP IF NEEDED
candle_direction,-0.028809396623383735,-0.17270189478909498,0.17270189478909498,493,WEAK KEEP IF NEEDED
upper_shadow_ratio,0.020058499164387976,0.12329824289169937,0.12329824289169937,493,WEAK KEEP IF NEEDED
body_ratio,-0.009935170276369731,-0.061017884202871624,0.061017884202871624,493,DISCARD
bollinger_band_width,-0.010293828002636361,-0.053747298783519144,0.053747298783519144,474,DISCARD
lower_shadow_ratio,-0.0012481922794147986,-0.0073348910327813745,0.0073348910327813745,493,DISCARD
