datetime,open,high,low,close,volume
2022-01-03,1316.35,1339.9,1314.1,1326.15,2660905
2022-01-04,1329.5,1336.7,1307.25,1333.45,3367100
2022-01-05,1329.0,1330.0,1302.0,1310.75,3510253
2022-01-06,1290.0,1297.8,1277.0,1284.9,4409490
2022-01-07,1297.55,1298.5,1282.2,1290.55,3898550
2022-01-10,1304.85,1304.85,1280.0,1288.1,2529949
2022-01-11,1288.65,1348.0,1280.0,1343.65,6772189
2022-01-12,1354.0,1357.1,1331.4,1352.15,3161811
2022-01-13,1340.0,1359.4,1321.15,1334.25,4597580
2022-01-14,1320.0,1342.95,1293.0,1337.2,5636214
2022-01-17,1273.0,1273.0,1243.4,1258.75,11972854
2022-01-18,1269.95,1269.95,1217.0,1219.75,7798926
2022-01-19,1220.0,1220.5,1191.0,1199.2,8463788
2022-01-20,1200.0,1201.4,1170.0,1175.35,6172089
2022-01-21,1175.35,1179.85,1155.0,1167.95,5514741
2022-01-24,1162.5,1164.5,1111.0,1124.9,5878217
2022-01-25,1115.0,1139.65,1088.4,1123.7,4724992
2022-01-27,1115.0,1115.95,1070.2,1077.75,8304159
2022-01-28,1079.0,1102.2,1077.25,1080.45,7654308
2022-01-31,1100.65,1113.95,1092.85,1099.4,7572543
2022-02-01,1116.7,1136.5,1101.25,1132.8,6783466
2022-02-02,1142.9,1173.85,1133.3,1170.95,6982253
2022-02-03,1162.0,1170.85,1151.0,1156.75,4169361
2022-02-04,1160.0,1167.1,1137.35,1163.8,3625429
2022-02-07,1157.0,1171.35,1146.0,1157.35,3824363
2022-02-08,1158.95,1169.85,1148.55,1161.95,3267613
2022-02-09,1172.0,1189.0,1166.0,1180.9,3772945
2022-02-10,1184.95,1191.9,1174.1,1190.35,2053151
2022-02-11,1179.0,1179.0,1158.05,1163.7,3912300
2022-02-14,1135.35,1164.35,1133.6,1146.45,3243780
2022-02-15,1153.5,1174.0,1148.1,1168.55,3000470
2022-02-16,1178.0,1182.65,1160.0,1167.8,1885730
2022-02-17,1174.0,1174.0,1160.0,1163.05,1644047
2022-02-18,1152.85,1170.1,1150.1,1165.0,2166680
2022-02-21,1153.1,1169.5,1150.2,1164.75,1705991
