epoch,training_loss,s1_loss,s2_loss
1,3.1854209899902344,3.6617777347564697,2.70906400680542
2,3.149340867996216,3.6325626373291016,2.66611909866333
3,3.160659074783325,3.6354777812957764,2.685840368270874
4,3.1426801681518555,3.6297006607055664,2.6556599140167236
5,3.115210771560669,3.6026124954223633,2.6278090476989746
6,3.0940139293670654,3.5776846408843994,2.6103432178497314
7,3.085683822631836,3.571917772293091,2.599449634552002
8,3.068704128265381,3.5517168045043945,2.585691452026367
9,3.0912528038024902,3.572376012802124,2.6101293563842773
10,3.0296504497528076,3.521121025085449,2.538179874420166
11,3.0450334548950195,3.5304744243621826,2.5595922470092773
12,2.9725759029388428,3.4597666263580322,2.4853851795196533
13,2.9654431343078613,3.453028678894043,2.4778573513031006
14,2.982478380203247,3.465817451477051,2.4991393089294434
15,2.909745693206787,3.399195671081543,2.4202957153320312
16,2.9091238975524902,3.409823179244995,2.4084248542785645
17,2.878981590270996,3.3736226558685303,2.384340524673462
18,2.8411245346069336,3.3370375633239746,2.3452112674713135
19,2.8166866302490234,3.3202972412109375,2.3130762577056885
20,2.775635242462158,3.2673051357269287,2.2839651107788086
